country	indicator	date	year_week	value	source	url
Cyprus	Daily hospital occupancy	09-03-2020	2020-W11	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	10-03-2020	2020-W11	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	11-03-2020	2020-W11	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	12-03-2020	2020-W11	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	13-03-2020	2020-W11	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	14-03-2020	2020-W11	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	15-03-2020	2020-W11	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	16-03-2020	2020-W12	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	17-03-2020	2020-W12	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	18-03-2020	2020-W12	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	19-03-2020	2020-W12	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	20-03-2020	2020-W12	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	21-03-2020	2020-W12	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	22-03-2020	2020-W12	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	23-03-2020	2020-W13	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	24-03-2020	2020-W13	24	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	25-03-2020	2020-W13	23	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	26-03-2020	2020-W13	21	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	27-03-2020	2020-W13	29	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	28-03-2020	2020-W13	34	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	29-03-2020	2020-W13	33	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	30-03-2020	2020-W14	34	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	31-03-2020	2020-W14	40	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	01-04-2020	2020-W14	54	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	02-04-2020	2020-W14	51	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	03-04-2020	2020-W14	55	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	04-04-2020	2020-W14	56	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	05-04-2020	2020-W14	55	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	06-04-2020	2020-W15	48	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	07-04-2020	2020-W15	51	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	08-04-2020	2020-W15	45	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	09-04-2020	2020-W15	51	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	10-04-2020	2020-W15	50	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	11-04-2020	2020-W15	45	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	12-04-2020	2020-W15	42	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	13-04-2020	2020-W16	39	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	14-04-2020	2020-W16	40	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	15-04-2020	2020-W16	40	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	16-04-2020	2020-W16	36	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	17-04-2020	2020-W16	40	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	18-04-2020	2020-W16	36	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	19-04-2020	2020-W16	36	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	20-04-2020	2020-W17	33	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	21-04-2020	2020-W17	36	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	22-04-2020	2020-W17	34	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	23-04-2020	2020-W17	31	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	24-04-2020	2020-W17	32	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	25-04-2020	2020-W17	33	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	26-04-2020	2020-W17	30	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	27-04-2020	2020-W18	29	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	28-04-2020	2020-W18	26	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	29-04-2020	2020-W18	27	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	30-04-2020	2020-W18	25	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	01-05-2020	2020-W18	24	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	02-05-2020	2020-W18	24	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	03-05-2020	2020-W18	23	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	04-05-2020	2020-W19	22	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	05-05-2020	2020-W19	24	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	06-05-2020	2020-W19	23	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	07-05-2020	2020-W19	19	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	08-05-2020	2020-W19	19	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	09-05-2020	2020-W19	19	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	10-05-2020	2020-W19	20	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	11-05-2020	2020-W20	22	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	12-05-2020	2020-W20	15	Country_Website	https://www.data.gov.cy/search/type/dataset
